V_method,Parameters,Method,Folds,MAE,STD
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.500000",lop,17.0,2.4759602612444604,1.537260454493101
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.500000",lop,17.0,3.0534532104704546,2.1490367959928185
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.500000",lop,17.0,3.0534532104704546,2.1490367959928185
direct,direct_thres=5.000000,hillside(t=0),17.0,3.069807240754261,2.157266672212727
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=1.000000",lop,17.0,3.074329589436814,2.0047972855172156
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=1.000000",lop,17.0,3.074329589436814,2.0047972855172156
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=1.000000",lop,17.0,3.1419632969652262,2.1475903664361207
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=1.000000",lop,17.0,3.1419632969652262,2.1475903664361207
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.250000",lop,17.0,3.173408414000716,1.935670215121981
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=1.000000",lop,17.0,3.2143003428485746,2.4666428417754207
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=1.000000",lop,17.0,3.2143003428485746,2.4666428417754207
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=1.000000",lop,17.0,3.428394853787973,1.9858558721288087
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=1.000000",lop,17.0,3.4420337937674415,2.2408852797005223
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=1.000000",lop,17.0,3.4615972716367645,2.1118672288905835
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=1.000000",lop,17.0,3.4615972716367645,2.1118672288905835
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=1.000000",lop,17.0,3.5032782949535375,2.3459700905197858
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.250000",lop,17.0,3.507848334382554,2.1688316926830997
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.250000",lop,17.0,3.507848334382554,2.1688316926830997
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.500000",lop,17.0,3.6082625614321615,2.2297883636865885
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.500000",lop,17.0,3.655494921232241,2.3241551590292633
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=0.500000",lop,17.0,3.657154980952175,2.179926922305239
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.250000",lop,17.0,3.660319180319981,2.536949132670216
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.250000",lop,17.0,3.6608841114011206,2.369827034754277
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.250000",lop,17.0,3.6608841114011206,2.369827034754277
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.250000",lop,17.0,3.668622465674119,2.506336570156327
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.250000",lop,17.0,3.668622465674119,2.506336570156327
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=1.000000",lop,17.0,3.6699524588736816,2.1212145714036232
direct,direct_thres=0.000000,lop,17.0,3.6906106810483643,2.383473554916542
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.692631679387969,2.271013401875837
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.6928804474201122,2.272679699671377
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.6928804474201122,2.272679699671377
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.6938100623087773,2.2658986000638883
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=1.000000",lop,17.0,3.6940094370304224,2.1268579671911
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.694233437769541,2.2665017712644473
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.694233437769541,2.2665017712644473
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.695096822003432,2.2641989314955935
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.695249257494579,2.2630443763412496
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.6967212934759193,2.2620778134805977
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.6967212934759193,2.2620778134805977
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.696878650635555,2.2641199230364117
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.696878650635555,2.2641199230364117
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.697876071973931,2.257390379395942
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.697876071973931,2.257390379395942
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.6986285081318937,2.274809976201471
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.6986285081318937,2.274809976201471
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.250000",lop,17.0,3.6989910722357298,2.8016304180394145
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.69910436340055,2.273964432431679
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.6999919846530465,2.2552486586431493
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.6999919846530465,2.2552486586431493
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7001112171143493,2.259494269845918
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7001112171143493,2.259494269845918
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.700819816504231,2.279863819453794
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.700903144942108,2.2812972124146773
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.700903144942108,2.2812972124146773
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.7021058664023534,2.270839164162311
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.702122523286917,2.2755652450201196
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.702507799881983,2.2589843152659874
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7031200113603395,2.2612298276991143
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7031200113603395,2.2612298276991143
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.703409832632868,2.275853590070556
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.703409832632868,2.275853590070556
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.7041682855130014,2.269708544216881
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.7041682855130014,2.269708544216881
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7049022777722667,2.260698546239648
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.70616941687069,2.270850160499216
direct,direct_thres=1.000000,lop,17.0,3.7065032038877246,2.5000481179032272
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.707906902199074,2.2619705011237414
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.707906902199074,2.2619705011237414
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.7085176600170504,2.2707269151425242
