V_method,Parameters,Method,Folds,MAE,STD
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=1.000000",lop,17.0,3.330779410390813,2.6022321207569004
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.250000",lop,17.0,3.3460243070009597,2.071650125404982
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.250000",lop,17.0,3.3460243070009597,2.071650125404982
direct,direct_thres=2.000000,hillside(t=0),17.0,3.353103056482724,2.2651178299071297
direct,direct_thres=5.000000,lop,17.0,3.4798109626327163,2.7171750321694588
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.500000",lop,17.0,3.5612819724323117,2.630155595616838
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.5961102580908584,1.7860078595915436
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.5961102580908584,1.7860078595915436
direct,direct_thres=5.000000,hillside(t=0),17.0,3.6065413527394306,2.440185536019844
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.500000",lop,17.0,3.69562389182215,2.1310187091632664
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.500000",lop,17.0,3.69562389182215,2.1310187091632664
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.250000",lop,17.0,3.7058186600534904,2.407171307741892
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=1.000000",lop,17.0,3.7422607086850186,1.895840662418445
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=1.000000",lop,17.0,3.7557840388922825,2.0893748996616934
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.794637324911232,2.7003494519614915
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.500000",lop,17.0,3.7957015891508274,2.396300249073841
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=0.250000",lop,17.0,3.821662411886741,2.399927867216391
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.8915087012176524,2.535293436979615
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.250000",lop,17.0,3.9291043421504357,1.875952264192256
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.250000",lop,17.0,3.9291043421504357,1.875952264192256
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.500000",lop,17.0,3.973328854670246,1.9727456204452014
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.500000",lop,17.0,3.973328854670246,1.9727456204452014
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.250000",lop,17.0,4.085794345515516,2.161187797834829
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.250000",lop,17.0,4.085794345515516,2.161187797834829
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=1.000000",lop,17.0,4.096291789065248,2.442951666883407
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=1.000000",lop,17.0,4.099186936505977,1.8163522208848932
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=1.000000",lop,17.0,4.099186936505977,1.8163522208848932
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.500000",lop,17.0,4.201790369492218,2.166932648122361
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.500000",lop,17.0,4.201790369492218,2.166932648122361
direct,direct_thres=0.000000,"hillside(t=0,nan=>0)",17.0,4.21328720462336,2.176379168990051
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.500000",lop,17.0,4.232882269888586,2.221888772319297
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.500000",lop,17.0,4.232882269888586,2.221888772319297
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=0.500000",lop,17.0,4.28364006673046,2.9394175350716334
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,4.333687253110484,4.304500214693541
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.250000",lop,17.0,4.34663045140188,2.636836383884552
direct,direct_thres=5.000000,"hillside(t=0,nan=>0)",17.0,4.364148020277592,2.6570363944284745
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.500000",lop,17.0,4.3642472230821285,2.5934105516005896
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=1.000000",hillside(t=0),17.0,4.410276839539551,2.9426096178013093
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=1.000000",hillside(t=0),17.0,4.410276839539551,2.9426096178013093
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.500000",lop,17.0,4.43478537562159,1.7812516547063628
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.500000",lop,17.0,4.436956626842284,2.494240491056572
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=0.250000",lop,17.0,4.4905606710565555,3.1093906917776417
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=1.000000",lop,17.0,4.625271654185604,2.615845179543384
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=1.000000",lop,17.0,4.64303321530365,2.255341387993658
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=1.000000",lop,17.0,4.681670582894725,1.7142433830881465
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=1.000000",lop,17.0,4.681670582894725,1.7142433830881465
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=1.000000",lop,17.0,4.6920647037244585,2.652317802314784
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,4.728688274461151,4.488463334130391
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,4.728688274461151,4.488463334130391
direct,direct_thres=1.000000,lop,17.0,4.749703463464589,3.198257446613186
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.500000",hillside(t=0),17.0,4.766316493149836,3.5170109106939536
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.500000",hillside(t=0),17.0,4.766316493149836,3.5170109106939536
direct,direct_thres=1.000000,"hillside(t=0,nan=>0)",17.0,4.824043667487366,1.8220733548440988
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=1.000000",lop,17.0,4.830457695022457,1.9053737284843995
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=1.000000",lop,17.0,4.830457695022457,1.9053737284843995
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.500000",hillside(t=0),17.0,4.836997568725345,2.997096227787934
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=0.500000",lop,17.0,4.8415096161565545,2.674997231764865
direct,direct_thres=2.000000,lop,17.0,4.892994842528727,3.0067461441541896
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=1.000000",hillside(t=0),17.0,4.893994535514737,4.05147712041139
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=1.000000",lop,17.0,4.919101040229059,2.6329938346726616
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.250000",lop,17.0,4.923248376805878,2.3778993849041505
direct,direct_thres=0.000000,lop,17.0,4.926826274026972,2.523360864906492
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.500000",hillside(t=0),17.0,4.932523004006073,3.11529641446828
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.500000",hillside(t=0),17.0,4.932523004006073,3.11529641446828
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.500000",hillside(t=0),17.0,4.994205285508609,2.7467333738277278
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.250000",lop,17.0,4.999270565607596,2.932456101249241
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.250000",hillside(t=0),17.0,5.030388818130349,3.4223477635978
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.250000",hillside(t=0),17.0,5.030388818130349,3.4223477635978
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.250000",lop,17.0,5.113218681101514,3.4315023001876694
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.250000",lop,17.0,5.113218681101514,3.4315023001876694
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=1.000000",lop,17.0,5.291951330892362,1.9658623428184177
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=1.000000",lop,17.0,5.291951330892362,1.9658623428184177
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.500000",lop,17.0,5.293388489372254,2.2728283097636517
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=1.000000",hillside(t=0),17.0,5.298353768418764,4.097764621645457
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=1.000000",hillside(t=0),17.0,5.298353768418764,4.097764621645457
direct,direct_thres=1.000000,hillside(t=0),17.0,5.33388213047818,2.821972267950338
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.250000",lop,17.0,5.366582324624032,3.604402784727172
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.250000",lop,17.0,5.383630024106373,3.9377512102249748
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.500000",hillside(t=0),17.0,5.427330536388532,3.2342060198701117
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=0.000000,weight_indirect=0.500000",hillside(t=0),17.0,5.489446626950046,3.7948843288847964
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=1.000000,weight_indirect=0.500000",hillside(t=0),17.0,5.489446626950046,3.7948843288847964
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.250000",hillside(t=0),17.0,5.527542268187147,4.8558404860085025
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=1.000000",hillside(t=0),17.0,5.599023153328922,4.658206084960732
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.250000",hillside(t=0),17.0,5.625926216675856,2.9386631377767
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.250000",hillside(t=0),17.0,5.625926216675856,2.9386631377767
direct,direct_thres=0.000000,hillside(t=0),17.0,5.635501931008612,1.922198878876701
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=1.000000",hillside(t=0),17.0,5.68359902570042,3.6687456491397485
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=1.000000",hillside(t=0),17.0,5.686564873960743,5.314218827106694
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=1.000000",hillside(t=0),17.0,5.686564873960743,5.314218827106694
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.500000",hillside(t=0),17.0,5.691603975806504,3.6809611681296954
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,5.777426153175664,6.911895545273566
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=0.250000",hillside(t=0),17.0,5.827526727416672,5.196520649867075
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=2.000000,weight_indirect=0.500000",hillside(t=0),17.0,5.899192437783016,5.642528345664064
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=0.000000,weight_indirect=0.500000",hillside(t=0),17.0,5.936474751921352,4.603477068910373
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=1.000000,weight_indirect=0.500000",hillside(t=0),17.0,5.936474751921352,4.603477068910373
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=0.000000,weight_indirect=0.250000",hillside(t=0),17.0,5.946329981190958,4.492275365108048
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=1.000000,weight_indirect=0.250000",hillside(t=0),17.0,5.946329981190958,4.492275365108048
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=1.000000",hillside(t=0),17.0,6.038853188912292,4.486709031428715
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.500000",hillside(t=0),17.0,6.065289276374034,3.495982770274194
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=0.500000",hillside(t=0),17.0,6.070172540854422,6.241358634004985
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.250000",hillside(t=0),17.0,6.1046497777928685,3.864730357417319
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=2.000000,weight_indirect=1.000000",hillside(t=0),17.0,6.2762565370215055,4.384089455111019
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=0.250000",hillside(t=0),17.0,6.277590383952843,6.772074377553103
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,6.278895467084692,6.508039571850551
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=1.000000",hillside(t=0),17.0,6.3055845760788145,3.926523117361274
