team1_name,team1_score,team1_H_A_N,team2_name,team2_score,team2_H_A_N
Duke,74,0,Alabama,64,0
NC_State,98,1,Appalachian_St,77,1
Clemson,62,-1,Boston_College,60,-1
Duke,89,-1,Boston_College,68,-1
NC_State,78,1,Boston_College,68,1
North_Carolina,82,1,Boston_College,71,1
NC_State,81,1,Campbell,66,1
Wake_Forest,82,1,Citadel,54,1
Arkansas,74,1,Clemson,68,1
Auburn,66,1,Clemson,64,1
Florida_St,56,-1,Clemson,41,-1
Massachusetts,62,0,Clemson,56,0
North_Carolina,80,1,Clemson,61,1
Notre_Dame,68,1,Clemson,64,1
Pittsburgh,76,1,Clemson,43,1
Pittsburgh,83,-1,Clemson,78,-1
Syracuse,57,1,Clemson,44,1
Virginia,63,-1,Clemson,58,-1
Wake_Forest,62,1,Clemson,57,1
Clemson,69,1,Coastal_Car,40,1
Wake_Forest,89,1,Colgate,78,1
Clemson,85,0,Davidson,54,0
Duke,111,1,Davidson,77,1
North_Carolina,97,1,Davidson,85,1
Clemson,58,1,Delaware_St,37,1
NC_State,82,1,Detroit,79,1
Arizona,72,0,Duke,66,0
Clemson,72,1,Duke,59,1
Kansas,94,0,Duke,83,0
North_Carolina,74,1,Duke,66,1
Notre_Dame,79,1,Duke,77,1
Syracuse,91,1,Duke,89,1
Wake_Forest,82,1,Duke,72,1
NC_State,75,1,E_Kentucky,56,1
Duke,82,1,E_Michigan,59,1
Duke,83,1,East_Carolina,74,1
NC_State,90,1,East_Carolina,79,1
Duke,86,0,Elon,48,0
Duke,97,1,FL_Atlantic,64,1
NC_State,82,1,FL_Gulf_Coast,62,1
Clemson,53,-1,Florida_St,49,-1
Duke,78,1,Florida_St,56,1
NC_State,74,1,Florida_St,70,1
North_Carolina,81,-1,Florida_St,75,-1
Clemson,71,1,Furman,35,1
Duke,85,1,Gardner_Webb,66,1
Clemson,45,1,Georgia_Tech,41,1
Clemson,63,-1,Georgia_Tech,55,-1
Duke,79,1,Georgia_Tech,57,1
Duke,68,-1,Georgia_Tech,51,-1
NC_State,80,1,Georgia_Tech,78,1
North_Carolina,78,-1,Georgia_Tech,65,-1
North_Carolina,62,1,Holy_Cross,54,1
Wake_Forest,90,1,Jacksonville,83,1
North_Carolina,82,1,Kentucky,77,1
NC_State,76,1,Long_Beach_St,66,1
North_Carolina,93,0,Louisville,84,0
Clemson,77,1,Maryland,73,1
Duke,69,1,Maryland,67,1
NC_State,65,1,Maryland,56,1
North_Carolina,75,1,Maryland,63,1
Clemson,58,1,Miami_FL,54,1
Duke,67,-1,Miami_FL,46,-1
NC_State,56,-1,Miami_FL,55,-1
Duke,79,1,Michigan,69,1
North_Carolina,79,-1,Michigan_St,65,-1
North_Carolina,75,1,N_Kentucky,60,1
Cincinnati,68,1,NC_State,57,1
Clemson,73,1,NC_State,56,1
Duke,95,1,NC_State,60,1
Miami_FL,85,-1,NC_State,70,-1
Missouri,68,-1,NC_State,64,-1
NC_Central,82,-1,NC_State,72,-1
North_Carolina,84,1,NC_State,70,1
North_Carolina,85,-1,NC_State,84,-1
Pittsburgh,74,-1,NC_State,62,-1
Syracuse,56,1,NC_State,55,1
Virginia,76,-1,NC_State,45,-1
Wake_Forest,70,1,NC_State,69,1
Belmont,83,-1,North_Carolina,80,-1
Duke,93,1,North_Carolina,81,1
Miami_FL,63,-1,North_Carolina,57,-1
Syracuse,57,1,North_Carolina,45,1
Texas,86,-1,North_Carolina,83,-1
UAB,63,1,North_Carolina,59,1
Virginia,76,1,North_Carolina,61,1
Wake_Forest,73,1,North_Carolina,67,1
NC_State,69,1,Northwestern,48,1
NC_State,77,-1,Notre_Dame,70,-1
North_Carolina,73,-1,Notre_Dame,62,-1
North_Carolina,63,1,Notre_Dame,61,1
Wake_Forest,65,1,Notre_Dame,58,1
North_Carolina,84,1,Oakland,61,1
Duke,80,-1,Pittsburgh,65,-1
NC_State,74,-1,Pittsburgh,67,-1
North_Carolina,75,1,Pittsburgh,71,1
Wake_Forest,69,1,Presbyterian,48,1
North_Carolina,82,0,Richmond,72,0
Wake_Forest,76,1,Richmond,66,1
Clemson,65,1,S_Carolina_St,49,1
Clemson,71,1,South_Carolina,57,1
Wake_Forest,77,1,St_Bonaventure,62,1
Clemson,71,1,Stetson,51,1
Duke,66,1,Syracuse,60,1
Clemson,72,0,Temple,58,0
NC_State,65,-1,Tennessee,58,-1
Wake_Forest,72,1,Tulane,57,1
Duke,80,0,UCLA,63,0
