team1_name,team1_score,team1_H_A_N,team2_name,team2_score,team2_H_A_N
North_Carolina,80,1,Clemson,61,1
Wake_Forest,62,1,Clemson,57,1
Clemson,72,1,Duke,59,1
North_Carolina,74,1,Duke,66,1
Wake_Forest,82,1,Duke,72,1
Clemson,73,1,NC_State,56,1
Duke,95,1,NC_State,60,1
North_Carolina,84,1,NC_State,70,1
Wake_Forest,70,1,NC_State,69,1
Duke,93,1,North_Carolina,81,1
Wake_Forest,73,1,North_Carolina,67,1
Clemson,61,1,Wake_Forest,53,1
Duke,83,1,Wake_Forest,63,1
NC_State,82,1,Wake_Forest,67,1
North_Carolina,105,1,Wake_Forest,72,1
Clemson,85,0,Davidson,54,0
Duke,111,1,Davidson,77,1
North_Carolina,97,1,Davidson,85,1
Duke,83,1,East_Carolina,74,1
NC_State,90,1,East_Carolina,79,1
Clemson,53,-1,Florida_St,49,-1
Duke,78,1,Florida_St,56,1
NC_State,74,1,Florida_St,70,1
North_Carolina,81,-1,Florida_St,75,-1
Clemson,77,1,Maryland,73,1
Duke,69,1,Maryland,67,1
NC_State,65,1,Maryland,56,1
North_Carolina,75,1,Maryland,63,1
Pittsburgh,74,-1,NC_State,62,-1
Duke,80,-1,Pittsburgh,65,-1
NC_State,74,-1,Pittsburgh,67,-1
North_Carolina,75,1,Pittsburgh,71,1
Florida_St,67,-1,Wake_Forest,60,-1
Maryland,71,1,Wake_Forest,60,1
Pittsburgh,80,1,Wake_Forest,65,1
