team_j_name,team_i_name,team_i_score,team_i_H_A_N,team_j_i_score,team_j_i_H_A_N,game_i_j,team_k_name,team_k_score,team_k_H_A_N,team_j_k_score,team_j_k_H_A_N,game_k_j,games,direct
Clemson,North_Carolina,80,1,61,1,0,North_Carolina,80,1,61,1,0,"0,0",True
Clemson,North_Carolina,80,1,61,1,0,Wake_Forest,62,1,57,1,1,"0,1",False
Clemson,Wake_Forest,62,1,57,1,1,Wake_Forest,62,1,57,1,1,"1,1",True
Davidson,Clemson,85,0,54,0,15,Clemson,85,0,54,0,15,"15,15",True
Davidson,Clemson,85,0,54,0,15,Duke,111,1,77,1,16,"15,16",False
Davidson,Clemson,85,0,54,0,15,North_Carolina,97,1,85,1,17,"15,17",False
Davidson,Duke,111,1,77,1,16,Duke,111,1,77,1,16,"16,16",True
Davidson,Duke,111,1,77,1,16,North_Carolina,97,1,85,1,17,"16,17",False
Davidson,North_Carolina,97,1,85,1,17,North_Carolina,97,1,85,1,17,"17,17",True
Duke,Clemson,72,1,59,1,2,Clemson,72,1,59,1,2,"2,2",True
Duke,Clemson,72,1,59,1,2,North_Carolina,74,1,66,1,3,"2,3",False
Duke,Clemson,72,1,59,1,2,Wake_Forest,82,1,72,1,4,"2,4",False
Duke,North_Carolina,74,1,66,1,3,North_Carolina,74,1,66,1,3,"3,3",True
Duke,North_Carolina,74,1,66,1,3,Wake_Forest,82,1,72,1,4,"3,4",False
Duke,Wake_Forest,82,1,72,1,4,Wake_Forest,82,1,72,1,4,"4,4",True
East_Carolina,Duke,83,1,74,1,18,Duke,83,1,74,1,18,"18,18",True
East_Carolina,Duke,83,1,74,1,18,NC_State,90,1,79,1,19,"18,19",False
East_Carolina,NC_State,90,1,79,1,19,NC_State,90,1,79,1,19,"19,19",True
Florida_St,Clemson,53,-1,49,-1,20,Clemson,53,-1,49,-1,20,"20,20",True
Florida_St,Clemson,53,-1,49,-1,20,Duke,78,1,56,1,21,"20,21",False
Florida_St,Clemson,53,-1,49,-1,20,NC_State,74,1,70,1,22,"20,22",False
Florida_St,Clemson,53,-1,49,-1,20,North_Carolina,81,-1,75,-1,23,"20,23",False
Florida_St,Duke,78,1,56,1,21,Duke,78,1,56,1,21,"21,21",True
Florida_St,Duke,78,1,56,1,21,NC_State,74,1,70,1,22,"21,22",False
Florida_St,Duke,78,1,56,1,21,North_Carolina,81,-1,75,-1,23,"21,23",False
Florida_St,NC_State,74,1,70,1,22,NC_State,74,1,70,1,22,"22,22",True
Florida_St,NC_State,74,1,70,1,22,North_Carolina,81,-1,75,-1,23,"22,23",False
Florida_St,North_Carolina,81,-1,75,-1,23,North_Carolina,81,-1,75,-1,23,"23,23",True
Maryland,Clemson,77,1,73,1,24,Clemson,77,1,73,1,24,"24,24",True
Maryland,Clemson,77,1,73,1,24,Duke,69,1,67,1,25,"24,25",False
Maryland,Clemson,77,1,73,1,24,NC_State,65,1,56,1,26,"24,26",False
Maryland,Clemson,77,1,73,1,24,North_Carolina,75,1,63,1,27,"24,27",False
Maryland,Duke,69,1,67,1,25,Duke,69,1,67,1,25,"25,25",True
Maryland,Duke,69,1,67,1,25,NC_State,65,1,56,1,26,"25,26",False
Maryland,Duke,69,1,67,1,25,North_Carolina,75,1,63,1,27,"25,27",False
Maryland,NC_State,65,1,56,1,26,NC_State,65,1,56,1,26,"26,26",True
Maryland,NC_State,65,1,56,1,26,North_Carolina,75,1,63,1,27,"26,27",False
Maryland,North_Carolina,75,1,63,1,27,North_Carolina,75,1,63,1,27,"27,27",True
NC_State,Clemson,73,1,56,1,5,Clemson,73,1,56,1,5,"5,5",True
NC_State,Clemson,73,1,56,1,5,Duke,95,1,60,1,6,"5,6",False
NC_State,Clemson,73,1,56,1,5,North_Carolina,84,1,70,1,7,"5,7",False
NC_State,Clemson,73,1,56,1,5,Wake_Forest,70,1,69,1,8,"5,8",False
NC_State,Clemson,73,1,56,1,5,Pittsburgh,74,-1,62,-1,28,"5,28",False
NC_State,Duke,95,1,60,1,6,Duke,95,1,60,1,6,"6,6",True
NC_State,Duke,95,1,60,1,6,North_Carolina,84,1,70,1,7,"6,7",False
NC_State,Duke,95,1,60,1,6,Wake_Forest,70,1,69,1,8,"6,8",False
NC_State,Duke,95,1,60,1,6,Pittsburgh,74,-1,62,-1,28,"6,28",False
NC_State,North_Carolina,84,1,70,1,7,North_Carolina,84,1,70,1,7,"7,7",True
NC_State,North_Carolina,84,1,70,1,7,Wake_Forest,70,1,69,1,8,"7,8",False
NC_State,North_Carolina,84,1,70,1,7,Pittsburgh,74,-1,62,-1,28,"7,28",False
NC_State,Wake_Forest,70,1,69,1,8,Wake_Forest,70,1,69,1,8,"8,8",True
NC_State,Wake_Forest,70,1,69,1,8,Pittsburgh,74,-1,62,-1,28,"8,28",False
NC_State,Pittsburgh,74,-1,62,-1,28,Pittsburgh,74,-1,62,-1,28,"28,28",True
North_Carolina,Duke,93,1,81,1,9,Duke,93,1,81,1,9,"9,9",True
North_Carolina,Duke,93,1,81,1,9,Wake_Forest,73,1,67,1,10,"9,10",False
North_Carolina,Wake_Forest,73,1,67,1,10,Wake_Forest,73,1,67,1,10,"10,10",True
Pittsburgh,Duke,80,-1,65,-1,29,Duke,80,-1,65,-1,29,"29,29",True
Pittsburgh,Duke,80,-1,65,-1,29,NC_State,74,-1,67,-1,30,"29,30",False
Pittsburgh,Duke,80,-1,65,-1,29,North_Carolina,75,1,71,1,31,"29,31",False
Pittsburgh,NC_State,74,-1,67,-1,30,NC_State,74,-1,67,-1,30,"30,30",True
Pittsburgh,NC_State,74,-1,67,-1,30,North_Carolina,75,1,71,1,31,"30,31",False
Pittsburgh,North_Carolina,75,1,71,1,31,North_Carolina,75,1,71,1,31,"31,31",True
Wake_Forest,Clemson,61,1,53,1,11,Clemson,61,1,53,1,11,"11,11",True
Wake_Forest,Clemson,61,1,53,1,11,Duke,83,1,63,1,12,"11,12",False
Wake_Forest,Clemson,61,1,53,1,11,NC_State,82,1,67,1,13,"11,13",False
Wake_Forest,Clemson,61,1,53,1,11,North_Carolina,105,1,72,1,14,"11,14",False
Wake_Forest,Clemson,61,1,53,1,11,Florida_St,67,-1,60,-1,32,"11,32",False
Wake_Forest,Clemson,61,1,53,1,11,Maryland,71,1,60,1,33,"11,33",False
Wake_Forest,Clemson,61,1,53,1,11,Pittsburgh,80,1,65,1,34,"11,34",False
Wake_Forest,Duke,83,1,63,1,12,Duke,83,1,63,1,12,"12,12",True
Wake_Forest,Duke,83,1,63,1,12,NC_State,82,1,67,1,13,"12,13",False
Wake_Forest,Duke,83,1,63,1,12,North_Carolina,105,1,72,1,14,"12,14",False
Wake_Forest,Duke,83,1,63,1,12,Florida_St,67,-1,60,-1,32,"12,32",False
Wake_Forest,Duke,83,1,63,1,12,Maryland,71,1,60,1,33,"12,33",False
Wake_Forest,Duke,83,1,63,1,12,Pittsburgh,80,1,65,1,34,"12,34",False
Wake_Forest,NC_State,82,1,67,1,13,NC_State,82,1,67,1,13,"13,13",True
Wake_Forest,NC_State,82,1,67,1,13,North_Carolina,105,1,72,1,14,"13,14",False
Wake_Forest,NC_State,82,1,67,1,13,Florida_St,67,-1,60,-1,32,"13,32",False
Wake_Forest,NC_State,82,1,67,1,13,Maryland,71,1,60,1,33,"13,33",False
Wake_Forest,NC_State,82,1,67,1,13,Pittsburgh,80,1,65,1,34,"13,34",False
Wake_Forest,North_Carolina,105,1,72,1,14,North_Carolina,105,1,72,1,14,"14,14",True
Wake_Forest,North_Carolina,105,1,72,1,14,Florida_St,67,-1,60,-1,32,"14,32",False
Wake_Forest,North_Carolina,105,1,72,1,14,Maryland,71,1,60,1,33,"14,33",False
Wake_Forest,North_Carolina,105,1,72,1,14,Pittsburgh,80,1,65,1,34,"14,34",False
Wake_Forest,Florida_St,67,-1,60,-1,32,Florida_St,67,-1,60,-1,32,"32,32",True
Wake_Forest,Florida_St,67,-1,60,-1,32,Maryland,71,1,60,1,33,"32,33",False
Wake_Forest,Florida_St,67,-1,60,-1,32,Pittsburgh,80,1,65,1,34,"32,34",False
Wake_Forest,Maryland,71,1,60,1,33,Maryland,71,1,60,1,33,"33,33",True
Wake_Forest,Maryland,71,1,60,1,33,Pittsburgh,80,1,65,1,34,"33,34",False
Wake_Forest,Pittsburgh,80,1,65,1,34,Pittsburgh,80,1,65,1,34,"34,34",True
Clemson,Duke,59,1,72,1,2,NC_State,56,1,73,1,5,"2,5",False
Clemson,Duke,59,1,72,1,2,Wake_Forest,53,1,61,1,11,"2,11",False
Clemson,Duke,59,1,72,1,2,Davidson,54,0,85,0,15,"2,15",False
Clemson,Duke,59,1,72,1,2,Florida_St,49,-1,53,-1,20,"2,20",False
Clemson,Duke,59,1,72,1,2,Maryland,73,1,77,1,24,"2,24",False
Clemson,NC_State,56,1,73,1,5,Wake_Forest,53,1,61,1,11,"5,11",False
Clemson,NC_State,56,1,73,1,5,Davidson,54,0,85,0,15,"5,15",False
Clemson,NC_State,56,1,73,1,5,Florida_St,49,-1,53,-1,20,"5,20",False
Clemson,NC_State,56,1,73,1,5,Maryland,73,1,77,1,24,"5,24",False
Clemson,Wake_Forest,53,1,61,1,11,Davidson,54,0,85,0,15,"11,15",False
Clemson,Wake_Forest,53,1,61,1,11,Florida_St,49,-1,53,-1,20,"11,20",False
Clemson,Wake_Forest,53,1,61,1,11,Maryland,73,1,77,1,24,"11,24",False
Clemson,Davidson,54,0,85,0,15,Florida_St,49,-1,53,-1,20,"15,20",False
Clemson,Davidson,54,0,85,0,15,Maryland,73,1,77,1,24,"15,24",False
Clemson,Florida_St,49,-1,53,-1,20,Maryland,73,1,77,1,24,"20,24",False
Duke,NC_State,60,1,95,1,6,North_Carolina,81,1,93,1,9,"6,9",False
Duke,NC_State,60,1,95,1,6,Wake_Forest,63,1,83,1,12,"6,12",False
Duke,NC_State,60,1,95,1,6,Davidson,77,1,111,1,16,"6,16",False
Duke,NC_State,60,1,95,1,6,East_Carolina,74,1,83,1,18,"6,18",False
Duke,NC_State,60,1,95,1,6,Florida_St,56,1,78,1,21,"6,21",False
Duke,NC_State,60,1,95,1,6,Maryland,67,1,69,1,25,"6,25",False
Duke,NC_State,60,1,95,1,6,Pittsburgh,65,-1,80,-1,29,"6,29",False
Duke,North_Carolina,81,1,93,1,9,Wake_Forest,63,1,83,1,12,"9,12",False
Duke,North_Carolina,81,1,93,1,9,Davidson,77,1,111,1,16,"9,16",False
Duke,North_Carolina,81,1,93,1,9,East_Carolina,74,1,83,1,18,"9,18",False
Duke,North_Carolina,81,1,93,1,9,Florida_St,56,1,78,1,21,"9,21",False
Duke,North_Carolina,81,1,93,1,9,Maryland,67,1,69,1,25,"9,25",False
Duke,North_Carolina,81,1,93,1,9,Pittsburgh,65,-1,80,-1,29,"9,29",False
Duke,Wake_Forest,63,1,83,1,12,Davidson,77,1,111,1,16,"12,16",False
Duke,Wake_Forest,63,1,83,1,12,East_Carolina,74,1,83,1,18,"12,18",False
Duke,Wake_Forest,63,1,83,1,12,Florida_St,56,1,78,1,21,"12,21",False
Duke,Wake_Forest,63,1,83,1,12,Maryland,67,1,69,1,25,"12,25",False
Duke,Wake_Forest,63,1,83,1,12,Pittsburgh,65,-1,80,-1,29,"12,29",False
Duke,Davidson,77,1,111,1,16,East_Carolina,74,1,83,1,18,"16,18",False
Duke,Davidson,77,1,111,1,16,Florida_St,56,1,78,1,21,"16,21",False
Duke,Davidson,77,1,111,1,16,Maryland,67,1,69,1,25,"16,25",False
Duke,Davidson,77,1,111,1,16,Pittsburgh,65,-1,80,-1,29,"16,29",False
Duke,East_Carolina,74,1,83,1,18,Florida_St,56,1,78,1,21,"18,21",False
Duke,East_Carolina,74,1,83,1,18,Maryland,67,1,69,1,25,"18,25",False
Duke,East_Carolina,74,1,83,1,18,Pittsburgh,65,-1,80,-1,29,"18,29",False
Duke,Florida_St,56,1,78,1,21,Maryland,67,1,69,1,25,"21,25",False
Duke,Florida_St,56,1,78,1,21,Pittsburgh,65,-1,80,-1,29,"21,29",False
Duke,Maryland,67,1,69,1,25,Pittsburgh,65,-1,80,-1,29,"25,29",False
NC_State,Wake_Forest,67,1,82,1,13,East_Carolina,79,1,90,1,19,"13,19",False
NC_State,Wake_Forest,67,1,82,1,13,Florida_St,70,1,74,1,22,"13,22",False
NC_State,Wake_Forest,67,1,82,1,13,Maryland,56,1,65,1,26,"13,26",False
NC_State,Wake_Forest,67,1,82,1,13,Pittsburgh,67,-1,74,-1,30,"13,30",False
NC_State,East_Carolina,79,1,90,1,19,Florida_St,70,1,74,1,22,"19,22",False
NC_State,East_Carolina,79,1,90,1,19,Maryland,56,1,65,1,26,"19,26",False
NC_State,East_Carolina,79,1,90,1,19,Pittsburgh,67,-1,74,-1,30,"19,30",False
NC_State,Florida_St,70,1,74,1,22,Maryland,56,1,65,1,26,"22,26",False
NC_State,Florida_St,70,1,74,1,22,Pittsburgh,67,-1,74,-1,30,"22,30",False
NC_State,Maryland,56,1,65,1,26,Pittsburgh,67,-1,74,-1,30,"26,30",False
North_Carolina,Clemson,61,1,80,1,0,Duke,66,1,74,1,3,"0,3",False
North_Carolina,Clemson,61,1,80,1,0,NC_State,70,1,84,1,7,"0,7",False
North_Carolina,Clemson,61,1,80,1,0,Wake_Forest,72,1,105,1,14,"0,14",False
North_Carolina,Clemson,61,1,80,1,0,Davidson,85,1,97,1,17,"0,17",False
North_Carolina,Clemson,61,1,80,1,0,Florida_St,75,-1,81,-1,23,"0,23",False
North_Carolina,Clemson,61,1,80,1,0,Maryland,63,1,75,1,27,"0,27",False
North_Carolina,Clemson,61,1,80,1,0,Pittsburgh,71,1,75,1,31,"0,31",False
North_Carolina,Duke,66,1,74,1,3,NC_State,70,1,84,1,7,"3,7",False
North_Carolina,Duke,66,1,74,1,3,Wake_Forest,72,1,105,1,14,"3,14",False
North_Carolina,Duke,66,1,74,1,3,Davidson,85,1,97,1,17,"3,17",False
North_Carolina,Duke,66,1,74,1,3,Florida_St,75,-1,81,-1,23,"3,23",False
North_Carolina,Duke,66,1,74,1,3,Maryland,63,1,75,1,27,"3,27",False
North_Carolina,Duke,66,1,74,1,3,Pittsburgh,71,1,75,1,31,"3,31",False
North_Carolina,NC_State,70,1,84,1,7,Wake_Forest,72,1,105,1,14,"7,14",False
North_Carolina,NC_State,70,1,84,1,7,Davidson,85,1,97,1,17,"7,17",False
North_Carolina,NC_State,70,1,84,1,7,Florida_St,75,-1,81,-1,23,"7,23",False
North_Carolina,NC_State,70,1,84,1,7,Maryland,63,1,75,1,27,"7,27",False
North_Carolina,NC_State,70,1,84,1,7,Pittsburgh,71,1,75,1,31,"7,31",False
North_Carolina,Wake_Forest,72,1,105,1,14,Davidson,85,1,97,1,17,"14,17",False
North_Carolina,Wake_Forest,72,1,105,1,14,Florida_St,75,-1,81,-1,23,"14,23",False
North_Carolina,Wake_Forest,72,1,105,1,14,Maryland,63,1,75,1,27,"14,27",False
North_Carolina,Wake_Forest,72,1,105,1,14,Pittsburgh,71,1,75,1,31,"14,31",False
North_Carolina,Davidson,85,1,97,1,17,Florida_St,75,-1,81,-1,23,"17,23",False
North_Carolina,Davidson,85,1,97,1,17,Maryland,63,1,75,1,27,"17,27",False
North_Carolina,Davidson,85,1,97,1,17,Pittsburgh,71,1,75,1,31,"17,31",False
North_Carolina,Florida_St,75,-1,81,-1,23,Maryland,63,1,75,1,27,"23,27",False
North_Carolina,Florida_St,75,-1,81,-1,23,Pittsburgh,71,1,75,1,31,"23,31",False
North_Carolina,Maryland,63,1,75,1,27,Pittsburgh,71,1,75,1,31,"27,31",False
Pittsburgh,NC_State,62,-1,74,-1,28,Wake_Forest,65,1,80,1,34,"28,34",False
Wake_Forest,Clemson,57,1,62,1,1,Duke,72,1,82,1,4,"1,4",False
Wake_Forest,Clemson,57,1,62,1,1,NC_State,69,1,70,1,8,"1,8",False
Wake_Forest,Clemson,57,1,62,1,1,North_Carolina,67,1,73,1,10,"1,10",False
Wake_Forest,Duke,72,1,82,1,4,NC_State,69,1,70,1,8,"4,8",False
Wake_Forest,Duke,72,1,82,1,4,North_Carolina,67,1,73,1,10,"4,10",False
Wake_Forest,NC_State,69,1,70,1,8,North_Carolina,67,1,73,1,10,"8,10",False
Clemson,Duke,59,1,72,1,2,North_Carolina,80,1,61,1,0,"0,2",False
Clemson,Duke,59,1,72,1,2,Wake_Forest,62,1,57,1,1,"1,2",False
Clemson,NC_State,56,1,73,1,5,North_Carolina,80,1,61,1,0,"0,5",False
Clemson,NC_State,56,1,73,1,5,Wake_Forest,62,1,57,1,1,"1,5",False
Clemson,Wake_Forest,53,1,61,1,11,North_Carolina,80,1,61,1,0,"0,11",False
Clemson,Wake_Forest,53,1,61,1,11,Wake_Forest,62,1,57,1,1,"1,11",True
Clemson,Davidson,54,0,85,0,15,North_Carolina,80,1,61,1,0,"0,15",False
Clemson,Davidson,54,0,85,0,15,Wake_Forest,62,1,57,1,1,"1,15",False
Clemson,Florida_St,49,-1,53,-1,20,North_Carolina,80,1,61,1,0,"0,20",False
Clemson,Florida_St,49,-1,53,-1,20,Wake_Forest,62,1,57,1,1,"1,20",False
Clemson,Maryland,73,1,77,1,24,North_Carolina,80,1,61,1,0,"0,24",False
Clemson,Maryland,73,1,77,1,24,Wake_Forest,62,1,57,1,1,"1,24",False
Duke,NC_State,60,1,95,1,6,Clemson,72,1,59,1,2,"2,6",False
Duke,NC_State,60,1,95,1,6,North_Carolina,74,1,66,1,3,"3,6",False
Duke,NC_State,60,1,95,1,6,Wake_Forest,82,1,72,1,4,"4,6",False
Duke,North_Carolina,81,1,93,1,9,Clemson,72,1,59,1,2,"2,9",False
Duke,North_Carolina,81,1,93,1,9,North_Carolina,74,1,66,1,3,"3,9",True
Duke,North_Carolina,81,1,93,1,9,Wake_Forest,82,1,72,1,4,"4,9",False
Duke,Wake_Forest,63,1,83,1,12,Clemson,72,1,59,1,2,"2,12",False
Duke,Wake_Forest,63,1,83,1,12,North_Carolina,74,1,66,1,3,"3,12",False
Duke,Wake_Forest,63,1,83,1,12,Wake_Forest,82,1,72,1,4,"4,12",True
Duke,Davidson,77,1,111,1,16,Clemson,72,1,59,1,2,"2,16",False
Duke,Davidson,77,1,111,1,16,North_Carolina,74,1,66,1,3,"3,16",False
Duke,Davidson,77,1,111,1,16,Wake_Forest,82,1,72,1,4,"4,16",False
Duke,East_Carolina,74,1,83,1,18,Clemson,72,1,59,1,2,"2,18",False
Duke,East_Carolina,74,1,83,1,18,North_Carolina,74,1,66,1,3,"3,18",False
Duke,East_Carolina,74,1,83,1,18,Wake_Forest,82,1,72,1,4,"4,18",False
Duke,Florida_St,56,1,78,1,21,Clemson,72,1,59,1,2,"2,21",False
Duke,Florida_St,56,1,78,1,21,North_Carolina,74,1,66,1,3,"3,21",False
Duke,Florida_St,56,1,78,1,21,Wake_Forest,82,1,72,1,4,"4,21",False
Duke,Maryland,67,1,69,1,25,Clemson,72,1,59,1,2,"2,25",False
Duke,Maryland,67,1,69,1,25,North_Carolina,74,1,66,1,3,"3,25",False
Duke,Maryland,67,1,69,1,25,Wake_Forest,82,1,72,1,4,"4,25",False
Duke,Pittsburgh,65,-1,80,-1,29,Clemson,72,1,59,1,2,"2,29",False
Duke,Pittsburgh,65,-1,80,-1,29,North_Carolina,74,1,66,1,3,"3,29",False
Duke,Pittsburgh,65,-1,80,-1,29,Wake_Forest,82,1,72,1,4,"4,29",False
