,Upset measure,Variance of upset,Colley ESPN,Colley %,Massey ESPN,Massey %,Mean C & M ESPN,Mean C & M %
# X* frac hillside(t=0) map1,-0.35276073619631904,0.09146511499786561,0.15290591376647714,0.3669741930395451,0.2561023219940237,0.20552147239263807,0.2378092989944506,0.23220815841472026
# X* frac hillside(t=0) map2,0.3597627856582714,0.0303030303030303,0.03647433262080388,0.10942299786241164,0.16363636363636364,0.054879068998719374,0.11515151515151514,0.03692744729379982
# X* frac hillside(t=0) map3,0.29969559098229515,0.6990913752320743,-0.3658536585365854,-0.28963414634146345,-0.480245379507251,-0.23853322547570432,-0.4863244349440517,-0.28088560404722707
"# X* frac hillside(t=0,nan=>0) map1",0.4877300613496932,0.3719581343246536,-0.08562731170922719,-0.1651383868677953,-0.22561395032806852,-0.3128834355828221,-0.23171162466125958,-0.28793811643425316
"# X* frac hillside(t=0,nan=>0) map2",0.2804930193267879,0.5393939393939393,-0.46808726863364974,-0.37690143708164003,-0.35757575757575755,-0.3780558086578446,-0.4424242424242424,-0.3877381965848981
"# X* frac hillside(t=0,nan=>0) map3",0.3969249558622265,0.01223293072362623,-0.05828330542839124,-0.46319890103616196,-0.483200763583236,-0.6276952790379394,-0.38533731779422625,-0.5931791440311942
# X* frac lop map1,0.31098139099274313,-0.006060606060606061,0.21884599572482327,-0.5045616012544536,-0.12727272727272726,-0.4634232493225192,-0.0303030303030303,-0.5292934112111307
# X* frac lop map2,0.2195162759948775,0.22424242424242422,-0.08510677611520905,-0.23708316203522517,-0.04242424242424241,-0.2561023219940237,-0.13939393939393938,-0.28311042925246527
# X* frac lop map3,0.19512557866211333,-0.2121212121212121,0.2796365500928297,-0.05471149893120582,0.2606060606060606,0.2317116246612596,0.29696969696969694,0.06154574548966636
k hillside(t=0) map1,0.2500046476608327,0.43030303030303024,-0.4012176588288426,-0.5106406566912542,-0.4787878787878787,-0.6219627819854863,-0.4666666666666666,-0.6277666039945968
k hillside(t=0) map2,0.5304976669876206,0.6969696969696969,-0.40729671426564323,-0.7294866524160775,-0.35757575757575755,-0.38415348299103563,-0.43030303030303024,-0.5908391567007971
k hillside(t=0) map3,0.1890279043289223,0.41818181818181815,-0.2796365500928297,-0.47416632407045034,-0.4787878787878787,-0.6341581306518683,-0.41818181818181815,-0.6216120294456302
"k hillside(t=0,nan=>0) map1",0.298786042326361,0.5393939393939393,-0.5714312110592608,-0.6018264882432639,-0.6606060606060605,-0.8292837093139818,-0.6606060606060605,-0.7693218186208295
"k hillside(t=0,nan=>0) map2",0.3231767396591252,0.7212121212121211,-0.5410359338752574,-0.6018264882432639,-0.6727272727272726,-0.8475767323135548,-0.6727272727272726,-0.8000946913656626
"k hillside(t=0,nan=>0) map3",0.3231767396591252,0.3696969696969697,-0.38905954795524134,-0.5349568784384567,-0.5393939393939393,-0.737818594316116,-0.5151515151515151,-0.6893123494842632
k lop map1,-0.16463720699615814,0.3939393939393939,-0.6322217654272672,-0.006079055436800646,-0.22424242424242422,-0.31098139099274313,-0.32121212121212117,-0.1723280873710658
k lop map2,-0.40244650599060877,0.01818181818181818,-0.6079055436800646,0.10942299786241164,-0.16363636363636364,-0.2439069733276417,-0.29696969696969694,-0.06154574548966636
k lop map3,-0.17073488132934914,0.406060606060606,-0.7416447632896788,-0.1702135522304181,-0.5151515151515151,-0.579279061653149,-0.6,-0.40620192023179796
