team1_name,team1_score,team1_H_A_N,team2_name,team2_score,team2_H_A_N
Duke,91,1,UNC_Asheville,55,1
Pittsburgh,62,1,Virginia_Tech,57,1
Louisville,71,1,SMU,63,1
VA_Commonwealth,82,0,Virginia_Tech,52,0
Syracuse,56,1,NC_State,55,1
Wake_Forest,73,1,North_Carolina,67,1
Notre_Dame,70,1,Virginia_Tech,63,1
Miami_FL,77,-1,Florida_St,73,-1
NC_State,77,-1,Notre_Dame,70,-1
Georgia_Tech,74,1,Boston_College,71,1
Pittsburgh,76,1,Clemson,43,1
Virginia,67,1,Navy,42,1
Notre_Dame,80,1,Stetson,49,1
Georgia_Tech,74,1,Notre_Dame,69,1
North_Carolina,105,1,Wake_Forest,72,1
VA_Commonwealth,69,0,Boston_College,50,0
Notre_Dame,74,1,Miami_OH,62,1
